Ayuntamiento,Congreso,Cultura,DIFH,Hacienda,Gobernador,Morena,Oficialía_Mayor,PGJEH,Planeación,Otros,Saderh,Sedeco,Bienestar,Segobh,Semarnath,Semot,SEPH,Sipdus,SSH,SSPH,STPSH,Turismo,Contraloría,Gobierno,Delegación,CGCG,Despacho,IEEH,TEEH,TSJEH,UAEH,Gabinete_de_Seguridad,Presidencia,PRI,PAN,PRD,PT,PVEM,Panalh,Gabinete_Social,Aspirantes,CDHEH
Agua,ASEH,Cecultah,PPNNAF,Catastro,Gobernador,Morena,Oficialía Mayor,UECS,Citnova,Otros,Saderh,CEMR,Inhjuve,IHM,Semarnath,Semot,Inhide,Caasim,Copriseh,ASEH,ICATHI,Turismo,Contraloría,Gobierno,Delegación,CGCG,Despacho,IEEH,TEEH,TSJEH,UAEH,Gabinete de Seguridad,Presidencia,Alcalde,Alcalde,Alcalde,Alcalde,Alcalde,Panalh,Gabinete social,Simey,CDHEH
Alcalde,GLMorena,EMEH,Junta de Asistencia,Hacienda,,Alcalde,Archivo,PGJEH,Planeación,,Titular,Valle de Plata,IAAMEH,CD Mujeres,Proespa,STCH,IHEA,CEAA,Cameh,PIBEH,CCLEH,OEEH,SEAH,Indeph,Titular,,Titular,,,,,,Pemex,,,,,,Titular,,Ochoa,Titular
Ayuntamiento,GLPRI,Titular,Titular,Titular,,Diputado local,Titular,Fede,DESCTI,,Extitular,AEEH,Bienestar,PC,PNCH,Sitmah,Básica,CEVI,Ceetra,IFP,STPSH,Titular,Titular,,Extitular,,Extitular,,,,,,CFE,,,,,,,,,
Obras públicas,GLPAN,Extitular,Hospital del Niño,Extitular,,Diputado federal,Extitular,Cespimpp,Cedspi,,,CIH,Migrantes,CJMH,Coesbioh,Titular,Media superior,CAASVAM,LESP,C5i,PRODET,Extitular,Extitular,,,,,,,,,,SICT,,,,,,,,,
Policía municipal,GLPT,Cultura,,,,Senador,,UEIDA,Titular,,,Cofoin,Titular,Coespo,Titular,Extitular,Universidades,Sipdus,CETS,UPC,Titular,,,,,,,,,,,,Conagua,,,,,,,,,
Regidor,GLPANALH,,,,,Presidencia,,Titular,Extitular,,,IHCE,Extitular,Segobh,Extitular,,CELCI,Titular,APS,C3,Extitular,,,,,,,,,,,,FGR,,,,,,,,,
Exalcalde,GLMC,,,,,Titular,,Extitular,,,,Sedeco,,CEAV,,,IHE,Extitular,Repss,SSPH,,,,,,,,,,,,,GN,,,,,,,,,
,GLPVEM,,,,,Coordinador,,,,,,Coinhi,,Indemun,,,SEPH,,SSH,Bomberos,,,,,,,,,,,,,Sedena,,,,,,,,,
,GLPRD,,,,,Senador 2,,,,,,Fomento Económico,,SECESP,,,Inhife,,Titular,Policía Violeta,,,,,,,,,,,,,Sedatu,,,,,,,,,
,Junta de Gobierno,,,,,,,,,,,Titular,,Sipinna,,,CEH,,Extitular,Titular,,,,,,,,,,,,,Gobernación,,,,,,,,,
,Independiente,,,,,,,,,,,Extitular,,Ci3,,,IHFES,,,Extitular,,,,,,,,,,,,,Salud,,,,,,,,,
,,,,,,,,,,,,,,CBPEH,,,Titular,,,,,,,,,,,,,,,,INAH,,,,,,,,,
,,,,,,,,,,,,,,Ifreh,,,Extitular,,,,,,,,,,,,,,,,Medio ambiente,,,,,,,,,
,,,,,,,,,,,,,,IDPH,,,,,,,,,,,,,,,,,,,IMPI,,,,,,,,,
,,,,,,,,,,,,,,RTVH,,,,,,,,,,,,,,,,,,,IMSS,,,,,,,,,
,,,,,,,,,,,,,,Titular,,,,,,,,,,,,,,,,,,,ISSSTE,,,,,,,,,
,,,,,,,,,,,,,,Extitular,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
